Product Code,Product Name,Product Scale,Product Vendor,Product Description,Quantity In Stock,Buy Price,MSRP
S10_1949,1952 Alpine Renault 1300,1:10,Classic Metal Creations,Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,7305,98.58,214.30
S10_2016,1996 Moto Guzzi 1100i,1:10,Highway 66 Mini Classics,"Official Moto Guzzi logos and insignias, saddle bags located on side of motorcycle, detailed engine, working steering, working suspension, two leather seats, luggage rack, dual exhaust pipes, small saddle bag located on handle bars, two-tone paint with chrome accents, superior die-cast detail , rotating wheels , working kick stand, diecast metal with plastic parts and baked enamel finish.",6625,68.99,118.94
S10_4698,2003 Harley-Davidson Eagle Drag Bike,1:10,Red Start Diecast,"Model features, official Harley Davidson logos and insignias, detachable rear wheelie bar, heavy diecast metal with resin parts, authentic multi-color tampo-printed graphics, separate engine drive belts, free-turning front fork, rotating tires and rear racing slick, certificate of authenticity, detailed engine, display stand
, precision diecast replica, baked enamel finish, 1:10 scale model, removable fender, seat and tank cover piece for displaying the superior detail of the v-twin engine",5582,91.02,193.66
S10_4757,1972 Alfa Romeo GTA,1:10,Motor City Art Classics,Features include: Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,3252,85.68,136.00
S10_4962,1962 LanciaA Delta 16V,1:10,Second Gear Diecast,Features include: Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,6791,103.42,147.74
S12_1099,1968 Ford Mustang,1:12,Autoart Studio Design,"Hood, doors and trunk all open to reveal highly detailed interior features. Steering wheel actually turns the front wheels. Color dark green.",68,95.34,194.57
S12_1108,2001 Ferrari Enzo,1:12,Second Gear Diecast,Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,3619,95.59,207.80
S12_1666,1958 Setra Bus,1:12,Welly Diecast Productions,"Model features 30 windows, skylights & glare resistant glass, working steering system, original logos",1579,77.90,136.67
S12_2823,2002 Suzuki XREO,1:12,Unimax Art Galleries,"Official logos and insignias, saddle bags located on side of motorcycle, detailed engine, working steering, working suspension, two leather seats, luggage rack, dual exhaust pipes, small saddle bag located on handle bars, two-tone paint with chrome accents, superior die-cast detail , rotating wheels , working kick stand, diecast metal with plastic parts and baked enamel finish.",9997,66.27,150.62
S12_3148,1969 Corvair Monza,1:18,Welly Diecast Productions,"1:18 scale die-cast about 10"" long doors open, hood opens, trunk opens and wheels roll",6906,89.14,151.08
S12_3380,1968 Dodge Charger,1:12,Welly Diecast Productions,"1:12 scale model of a 1968 Dodge Charger. Hood, doors and trunk all open to reveal highly detailed interior features. Steering wheel actually turns the front wheels. Color black",9123,75.16,117.44
S12_3891,1969 Ford Falcon,1:12,Second Gear Diecast,Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,1049,83.05,173.02
S12_4473,1957 Chevy Pickup,1:12,Exoto Designs,"1:12 scale die-cast about 20"" long Hood opens, Rubber wheels",6125,55.70,118.50
S12_4675,1969 Dodge Charger,1:12,Welly Diecast Productions,Detailed model of the 1969 Dodge Charger. This model includes finely detailed interior and exterior features. Painted in red and white.,7323,58.73,115.16
S18_1097,1940 Ford Pickup Truck,1:18,Studio M Art Models,"This model features soft rubber tires, working steering, rubber mud guards, authentic Ford logos, detailed undercarriage, opening doors and hood,  removable split rear gate, full size spare mounted in bed, detailed interior with opening glove box",2613,58.33,116.67
S18_1129,1993 Mazda RX-7,1:18,Highway 66 Mini Classics,"This model features, opening hood, opening doors, detailed engine, rear spoiler, opening trunk, working steering, tinted windows, baked enamel finish. Color red.",3975,83.51,141.54
S18_1342,1937 Lincoln Berline,1:18,Motor City Art Classics,"Features opening engine cover, doors, trunk, and fuel filler cap. Color black",8693,60.62,102.74
S18_1589,1965 Aston Martin DB5,1:18,Classic Metal Creations,"Die-cast model of the silver 1965 Aston Martin DB5 in silver. This model includes full wire wheels and doors that open with fully detailed passenger compartment. In 1:18 scale, this model measures approximately 10 inches/20 cm long.",9042,65.96,124.44
S18_1662,1980s Black Hawk Helicopter,1:18,Red Start Diecast,"1:18 scale replica of actual Army's UH-60L BLACK HAWK Helicopter. 100% hand-assembled. Features rotating rotor blades, propeller blades and rubber wheels.",5330,77.27,157.69
S18_1749,1917 Grand Touring Sedan,1:18,Welly Diecast Productions,"This 1:18 scale replica of the 1917 Grand Touring car has all the features you would expect from museum quality reproductions: all four doors and bi-fold hood opening, detailed engine and instrument panel, chrome-look trim, and tufted upholstery, all topped off with a factory baked-enamel finish.",2724,86.70,170.00
S18_1889,1948 Porsche 356-A Roadster,1:18,Gearbox Collectibles,"This precision die-cast replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",8826,53.90,77.00
S18_1984,1995 Honda Civic,1:18,Min Lin Diecast,"This model features, opening hood, opening doors, detailed engine, rear spoiler, opening trunk, working steering, tinted windows, baked enamel finish. Color yellow.",9772,93.89,142.25
S18_2238,1998 Chrysler Plymouth Prowler,1:18,Gearbox Collectibles,Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,4724,101.51,163.73
S18_2319,1964 Mercedes Tour Bus,1:18,Unimax Art Galleries,"Exact replica. 100+ parts. working steering system, original logos",8258,74.86,122.73
S18_2325,1932 Model A Ford J-Coupe,1:18,Autoart Studio Design,"This model features grille-mounted chrome horn, lift-up louvered hood, fold-down rumble seat, working steering system, chrome-covered spare, opening doors, detailed and wired engine",9354,58.48,127.13
S18_2795,1928 Mercedes-Benz SSK,1:18,Gearbox Collectibles,"This 1:18 replica features grille-mounted chrome horn, lift-up louvered hood, fold-down rumble seat, working steering system, chrome-covered spare, opening doors, detailed and wired engine. Color black.",548,72.56,168.75
S18_2870,1999 Indy 500 Monte Carlo SS,1:18,Red Start Diecast,Features include opening and closing doors. Color: Red,8164,56.76,132.00
S18_2949,1913 Ford Model T Speedster,1:18,Carousel DieCast Legends,"This 250 part reproduction includes moving handbrakes, clutch, throttle and foot pedals, squeezable horn, detailed wired engine, removable water, gas, and oil cans, pivoting monocle windshield, all topped with a baked enamel red finish. Each replica comes with an Owners Title and Certificate of Authenticity. Color red.",4189,60.78,101.31
S18_3029,1999 Yamaha Speed Boat,1:18,Min Lin Diecast,"Exact replica. Wood and Metal. Many extras including rigging, long boats, pilot house, anchors, etc. Comes with three masts, all square-rigged.",4259,51.61,86.02
S18_3136,18th Century Vintage Horse Carriage,1:18,Red Start Diecast,"Hand crafted diecast-like metal horse carriage is re-created in about 1:18 scale of antique horse carriage. This antique style metal Stagecoach is all hand-assembled with many different parts.

This collectible metal horse carriage is painted in classic Red, and features turning steering wheel and is entirely hand-finished.",5992,60.74,104.72
S18_3140,1903 Ford Model A,1:18,Unimax Art Galleries,"Features opening trunk,  working steering system",3913,68.30,136.59
S18_3232,1992 Ferrari 360 Spider red,1:18,Unimax Art Galleries,"his replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",8347,77.90,169.34
S18_3233,1985 Toyota Supra,1:18,Highway 66 Mini Classics,"This model features soft rubber tires, working steering, rubber mud guards, authentic Ford logos, detailed undercarriage, opening doors and hood, removable split rear gate, full size spare mounted in bed, detailed interior with opening glove box",7733,57.01,107.57
S18_3259,Collectable Wooden Train,1:18,Carousel DieCast Legends,"Hand crafted wooden toy train set is in about 1:18 scale, 25 inches in total length including 2 additional carts, of actual vintage train. This antique style wooden toy train model set is all hand-assembled with 100% wood.",6450,67.56,100.84
S18_3320,1917 Maxwell Touring Car,1:18,Exoto Designs,"Features Gold Trim, Full Size Spare Tire, Chrome Trim, Chrome Grille, Opening Hood, Opening Doors, Opening Trunk, Detailed Engine, Working Steering System",7913,57.54,99.21
S18_3482,1976 Ford Gran Torino,1:18,Gearbox Collectibles,"Highly detailed 1976 Ford Gran Torino ""Starsky and Hutch"" diecast model. Very well constructed and painted in red and white patterns.",9127,73.49,146.99
S18_3685,1948 Porsche Type 356 Roadster,1:18,Gearbox Collectibles,"This model features working front and rear suspension on accurately replicated and actuating shock absorbers as well as opening engine cover, rear stabilizer flap,  and 4 opening doors.",8990,62.16,141.28
S18_3856,1941 Chevrolet Special Deluxe Cabriolet,1:18,Exoto Designs,"Features opening hood, opening doors, opening trunk, wide white wall tires, front door arm rests, working steering system, leather upholstery. Color black.",2378,64.58,105.87
S18_4027,1970 Triumph Spitfire,1:18,Min Lin Diecast,Features include opening and closing doors. Color: White.,5545,91.92,143.62
S18_4522,1904 Buick Runabout,1:18,Exoto Designs,"Features opening trunk,  working steering system",8290,52.66,87.77
S18_4600,1940s Ford truck,1:18,Motor City Art Classics,"This 1940s Ford Pick-Up truck is re-created in 1:18 scale of original 1940s Ford truck. This antique style metal 1940s Ford Flatbed truck is all hand-assembled. This collectible 1940's Pick-Up truck is painted in classic dark green color, and features rotating wheels.",3128,84.76,121.08
S18_4721,1957 Corvette Convertible,1:18,Classic Metal Creations,1957 die cast Corvette Convertible in Roman Red with white sides and whitewall tires. 1:18 scale quality die-cast with detailed engine and underbvody. Now you can own The Classic Corvette.,1249,69.93,148.80
S24_1578,1997 BMW R 1100 S,1:24,Autoart Studio Design,Detailed scale replica with working suspension and constructed from over 70 parts,7003,60.86,112.70
S24_1785,1928 British Royal Navy Airplane,1:24,Classic Metal Creations,Official logos and insignias,3627,66.74,109.42
S24_2011,18th century schooner,1:24,Carousel DieCast Legends,"All wood with canvas sails. Many extras including rigging, long boats, pilot house, anchors, etc. Comes with 4 masts, all square-rigged.",1898,82.34,122.89
S24_2300,1962 Volkswagen Microbus,1:24,Autoart Studio Design,"This 1:18 scale die cast replica of the 1962 Microbus is loaded with features: A working steering system, opening front doors and tailgate, and famous two-tone factory baked enamel finish, are all topped of by the sliding, real fabric, sunroof.",2327,61.34,127.79
S24_2887,1952 Citroen-15CV,1:24,Exoto Designs,"Precision crafted hand-assembled 1:18 scale reproduction of the 1952 15CV, with its independent spring suspension, working steering system, opening doors and hood, detailed engine and instrument panel, all topped of with a factory fresh baked enamel finish.",1452,72.82,117.44
S24_3191,1969 Chevrolet Camaro Z28,1:24,Exoto Designs,"1969 Z/28 Chevy Camaro 1:24 scale replica. The operating parts of this limited edition 1:24 scale diecast model car 1969 Chevy Camaro Z28- hood, trunk, wheels, streering, suspension and doors- are particularly delicate due to their precise scale and require special care and attention.",4695,50.51,85.61
S24_3432,2002 Chevy Corvette,1:24,Gearbox Collectibles,"The operating parts of this limited edition Diecast 2002 Chevy Corvette 50th Anniversary Pace car Limited Edition are particularly delicate due to their precise scale and require special care and attention. Features rotating wheels, poseable streering, opening doors and trunk.",9446,62.11,107.08
S24_3856,1956 Porsche 356A Coupe,1:18,Classic Metal Creations,Features include: Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,6600,98.30,140.43
S24_4048,1992 Porsche Cayenne Turbo Silver,1:24,Exoto Designs,"This replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",6582,69.78,118.28
S24_4258,1936 Chrysler Airflow,1:24,Second Gear Diecast,"Features opening trunk,  working steering system. Color dark green.",4710,57.46,97.39
S32_1268,1980’s GM Manhattan Express,1:32,Motor City Art Classics,"This 1980’s era new look Manhattan express is still active, running from the Bronx to mid-town Manhattan. Has 35 opeining windows and working lights. Needs a battery.",5099,53.93,96.31
S32_1374,1997 BMW F650 ST,1:32,Exoto Designs,Features official die-struck logos and baked enamel finish. Comes with stand.,178,66.92,99.89
S32_4485,1974 Ducati 350 Mk3 Desmo,1:32,Second Gear Diecast,"This model features two-tone paint with chrome accents, superior die-cast detail , rotating wheels , working kick stand",3341,56.13,102.05
S50_1392,Diamond T620 Semi-Skirted Tanker,1:50,Highway 66 Mini Classics,This limited edition model is licensed and perfectly scaled for Lionel Trains. The Diamond T620 has been produced in solid precision diecast and painted with a fire baked enamel finish. It comes with a removable tanker and is a perfect model to add authenticity to your static train or car layout or to just have on display.,1016,68.29,115.75
S700_1691,American Airlines: B767-300,1:700,Min Lin Diecast,Exact replia with official logos and insignias and retractable wheels,5841,51.15,91.34
S700_2466,America West Airlines B757-200,1:700,Motor City Art Classics,Official logos and insignias. Working steering system. Rotating jet engines,9653,68.80,99.72
S700_2834,ATA: B757-300,1:700,Highway 66 Mini Classics,Exact replia with official logos and insignias and retractable wheels,7106,59.33,118.65
S700_3167,F/A 18 Hornet 1/72,1:72,Motor City Art Classics,"10"" Wingspan with retractable landing gears.Comes with pilot",551,54.40,80.00
S700_3505,The Titanic,1:700,Carousel DieCast Legends,"Completed model measures 19 1/2 inches long, 9 inches high, 3inches wide and is in barn red/black. All wood and metal.",1956,51.09,100.17
S700_3962,The Queen Mary,1:700,Welly Diecast Productions,"Exact replica. Wood and Metal. Many extras including rigging, long boats, pilot house, anchors, etc. Comes with three masts, all square-rigged.",5088,53.63,99.31
